"post","bloco","formato","tema","titulo_capa","objetivo","estrutura_slide_a_slide","legenda_base","cta","imagem_cena_sugerida","prioridade","dependencias","status"
"1","Marca","Carrossel manifesto","Antes do imovel vem a decisao","ANTES DO IMOVEL VEM A DECISAO","Abrir a nova fase do perfil e instalar a tese central","1 capa manifesto; 2 o imovel nao e o inicio; 3 antes dele existe contexto; 4 decisao envolve patrimonio familia cidade e futuro; 5 a B Living organiza essa leitura; 6 assinatura escolha bem conduzida","Antes de apresentar uma oportunidade, existe uma decisao a ser bem conduzida. A B. Living nasce dessa leitura: entender momento, patrimonio, cidade, produto e timing antes de recomendar qualquer caminho.","Salvar para entender a nova fase da B. Living","Imagem editorial escura de Florianopolis, mesa de decisao, linhas finas de analise e logo oficial","Alta","Logo oficial; prancha visual; aprovar texto final | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"2","Marca","Estatico institucional","Curadoria para decisoes imobiliarias de alto padrao","CURADORIA PARA DECISOES IMOBILIARIAS","Fixar o posicionamento em uma peca limpa e memoravel","Post unico com frase principal, apoio curto e assinatura institucional","A B. Living orienta decisoes imobiliarias de alto padrao em Florianopolis com criterio, leitura de mercado e confianca. O produto importa. Mas a decisao vem antes.","Conheca a B. Living","Layout tipografico azul profundo com logo principal em bege claro","Alta","Logo oficial; frase aprovada | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"3","Marca","Carrossel","O que a B. Living conduz","O QUE A B. LIVING CONDUZ","Mostrar amplitude da entrega sem virar lista de servicos","1 capa; 2 moradia; 3 investimento; 4 patrimonio; 5 cidade; 6 timing; 7 produto; 8 decisao final","A B. Living nao conduz apenas visitas. Conduz escolhas que envolvem moradia, investimento, patrimonio, cidade, produto e timing de mercado.","Enviar para quem esta decidindo comprar em Florianopolis","Dossie editorial com camadas: mapa, planta, ficha de cliente e cidade","Alta","Nenhuma informacao numerica obrigatoria | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"4","Marca","Carrossel","Escolha bem conduzida","ESCOLHA BEM CONDUZIDA","Apresentar a essencia da marca como criterio de comunicacao","1 capa; 2 escolher bem nao e escolher rapido; 3 exige leitura; 4 exige comparacao; 5 exige criterio; 6 exige conducao; 7 assinatura da essencia","Escolha bem conduzida e a essencia da B. Living. E a diferenca entre encontrar um imovel e tomar uma decisao com criterio.","Fale com a equipe para uma leitura inicial","Imagem editorial de caminho, planta ou mesa com luz baixa e textura mineral","Alta","Validar se usa frase guia ou essencia no ultimo slide | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"5","Marca","Carrossel","Por que nao somos uma vitrine de imoveis","NAO SOMOS UMA VITRINE","Separar B. Living de imobiliaria comum","1 capa; 2 vitrine mostra opcoes; 3 curadoria entende contexto; 4 vitrine empilha produtos; 5 curadoria filtra; 6 vitrine acelera; 7 curadoria conduz; 8 fechamento B Living","Uma vitrine mostra o que esta disponivel. Uma curadoria entende o que faz sentido. A B. Living existe para separar oportunidade de excesso.","Salve antes de comparar imoveis","Contraste editorial entre catalogo desfocado e dossie de decisao sofisticado","Alta","Nenhuma | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"6","Marca","Estatico editorial","Criterio antes de produto","A MARCA DEVE PROVAR CRITERIO","Preparar a hierarquia do perfil antes dos posts comerciais","Post unico com frase: A marca deve provar criterio antes de mostrar produto","O perfil da B. Living passa a seguir uma ordem clara: primeiro criterio, depois produto. Primeiro confianca, depois oportunidade.","Acompanhe a nova fase do perfil","Tipografia serifada em caixa alta, azul profundo e linha brass discreta","Alta","Logo compacta oficial | Arquivo detalhado no lote-01-posts-01-a-06","Copy final v1"
"7","Autoridade","Reels","Rafael: leitura de mercado e decisao","RAFAEL LE O MERCADO","Humanizar autoridade sem transformar em perfil pessoal","Cena 1 Rafael em ambiente de trabalho; cena 2 fala sobre decisao; cena 3 corte para cidade/produto; cena 4 assinatura B Living","Rafael e a origem simbolica da autoridade da B. Living: leitura comercial, repertorio de mercado e responsabilidade na conducao de decisoes de alto padrao.","Assista e envie sua pergunta sobre o mercado","Rafael em mesa de decisao, visita tecnica ou fala direta em ambiente sobrio","Alta","Gravacao Rafael; aprovar roteiro; captacao vertical","A produzir"
"8","Autoridade","Carrossel","Rafael como origem da autoridade","RAFAEL COMO ORIGEM DA AUTORIDADE","Explicar a funcao de Rafael dentro da marca","1 capa; 2 lideranca; 3 experiencia; 4 leitura comercial; 5 relacao com mercado; 6 criterio; 7 marca maior que pessoa","Rafael aparece na marca nao como celebridade, mas como fonte de leitura, repertorio e criterio. A B. Living organiza essa autoridade em metodo.","Conheca a leitura por tras da B. Living","Retrato institucional discreto ou composicao sem rosto com assinatura de autoridade","Alta","Foto Rafael se houver; caso contrario usar cena de lideranca sem rosto","A produzir"
"9","Autoridade","Reels","Video de corretor 1","EQUIPE EM METODO","Mostrar autoridade distribuida","Cena 1 corretor se apresenta; cena 2 pergunta que costuma fazer ao cliente; cena 3 criterio usado para selecionar; cena 4 assinatura B Living","Na B. Living, equipe nao aparece como lista de corretores. Aparece como metodo em operacao: escuta, leitura, comparacao e conducao.","Envie para quem precisa de uma curadoria","Corretor em atendimento, dossie, visita ou bastidor de reuniao","Alta","Escolher corretor 1; gravar video; aprovar fala","A produzir"
"10","Autoridade","Reels","Video de corretor 2","AUTORIDADE DISTRIBUIDA","Reforcar que a experiencia nao depende de uma pessoa so","Cena 1 corretor em contexto; cena 2 leitura de territorio/produto; cena 3 criterio de recomendacao; cena 4 fechamento","A forca da B. Living esta em transformar repertorio individual em criterio compartilhado pela equipe.","Fale com a equipe B. Living","Corretor em visita tecnica, reuniao ou leitura de planta","Alta","Escolher corretor 2; gravar video; aprovar fala","A produzir"
